country,propFullVax,propBoostVax,cHomeBased,cHospitalWard,cHospitalICU,cCoverage20,cCoverage70,gdppc2020,woodsLow,woodsHigh
Japan,0.826,0.6402,53.95,208.66,2120.48,67.24,33.62,40193.25244,0.483366,0.485444
Australia,0.827,0.6219,53.45,271.57,4284.3,44.68,22.34,51692.84275,0.480819,0.612296
Korea,0.8617,0.7301,76.77,267,825,22.16,11.08,31631.46945,0.449808,0.504806
Hong Kong,0.8621,0.6036,114.69,657.22,3144.33,50.52,25.26,46323.86344,0.453315,0.749952
French Polynesia,0.5903,0.2746,,,,,,,,
Guam,0.9,,,,,,,34624.34013,,
Brunei Darussalam,0.9711,0.6853,,,,,,27442.95383,0.359068,0.878258
New Caledonia,0.622,0.3206,,,,,,,,
New Zealand,0.7934,0.5295,,,,,,41441.46667,0.478283,0.503041
Singapore,0.901,0.761,,,,,,59797.75218,0.392189,1.083093
Fiji,0.6831,0.1509,131.136458,99.028784,1060.544676,21.08,10.54,5057.631913,0.104736,0.476581
Samoa,0.7024,0.3024,82.061666,73.05987,838.275232,35.64,17.82,4067.843459,0.06563,0.469809
Tonga,0.6784,0.3483,79.0197,70.195216,803.619031,38.22,19.11,4624.823449,0.075201,0.513759
Mongolia,0.6402,0.3073,59.842715,53.042407,368.206707,26.78,13.39,4060.950518,0.124368,0.477544
Cambodia,0.8574,0.5627,22.921284,35.851767,256.841727,,,1543.669258,0.043417,0.51114
Philippines,0.6131,0.1288,47.03277,48.806172,342.255837,1.4,0.7,3298.829586,0.089154,0.494875
Lao PDR,0.6743,,37.288134,42.839285,302.31709,2.54,1.27,2629.714583,0.061683,0.465082
Vanuatu,0.3953,0.0325,37.875405,43.880542,309.028873,11.48,5.74,2870.0893,0.047043,0.570263
Papua New Guinea,0.0268,0,34.76681,41.697944,294.542879,5,2.5,2757.21753,0.027474,0.393056
Solomon Islands,0.2458,0.0032,28.01126,39.881526,284.051515,10.46,5.23,2250.601164,0.025349,0.446497
Kiribati,0.4623,0.0477,20.790433,34.296264,245.927371,58.58,29.29,1653.540297,0.025061,0.494226
Micronesia,0.575,0.266,42.557901,46.132398,323.619284,46.14,23.07,3565.293294,0.054094,0.549621
China,0.884,0.5541,,,,,,10434.77519,0.163952,0.648117
